System Date,11/4/2024 1:24:02 PM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,21,WC1200,1,JADEC,JADEC WC1200-WC2000,192.168.1.3
System,Subsystem 1,31,XT2640-011,1,JADEC,Xitron XT2640,192.168.1.150
System,Subsystem 2,74,XT2640-045,1,JADEC,Xitron XT2640,192.168.1.151
System,Subsystem 3,79,XT2640-050,1,JADEC,Xitron XT2640,192.168.1.159
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,31,XT2640-011,2643AD1712002,Xitron XT2640,XITRON,XT2640,2024-03-01,2025-03-01,117,OK
Additional Equipment,74,XT2640-045,2643AD1606009,Xitron XT2640,XITRON,XT2640,2024-02-21,2025-02-21,109,OK
Additional Equipment,79,XT2640-050,2643AD1904001,Xitron XT2640,XITRON,XT2640,2024-06-27,2025-06-27,235,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC1200,28520354,DAQ 3,2,93,29072571,NI,9208,3,19076,2024-01-05,2026-01-05,427,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7140,CH_WTR_E_TEMP_TET-CH-1,Plant Chilled Water Supply Temp,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,1746,M3040E23,RTD,Pyromation,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7143,CH_WTR_L_TEMP_TET-CH-4,Plant Chilled Water Return Temp,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,1741,M303F323,RTD,Pyromation,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7146,COND_WTR_E_TEMP_TET-CW-4A,Cond Water Loop Temp 4A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,1750,M304A923,RTD,Pyromation,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7150,EVAP_WTR_E_TEMP_TET-EW-4A,Evap Water Loop Temp 4A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,1744,M303FC23,RTD,Pyromation,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,WC1200,7386,COND_PUMP_DIFF_PRESS_CW-P1,WC1200,7152,COND_WTR_PRESS_PT-CW-1,Cond Water Pump Discharge Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,1735,1A00I2WI72G,Pressure,WIKA,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7153,COND_WTR_PRESS_PT-CW-2,Cond Water Loop Back Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,1732,1A00F0U3J2A,Pressure,WIKA,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,WC1200,7386,COND_PUMP_DIFF_PRESS_CW-P1,WC1200,7154,COND_WTR_PRESS_PT-CW-3,Cond Water Pump Suction Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,1734,1A00F0UDPIR,Pressure,WIKA,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,WC1200,7387,EVAP_PUMP_DIFF_PRESS_EW-P1,WC1200,7155,EVAP_WTR_PRESS_PT-EW-1,Evap Water Pump Discharge Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,22161,EA20274,Pressure,Keller,,2023-01-01,2030-01-01,1884,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7156,EVAP_WTR_PRESS_PT-EW-2,Evap Water Loop Back Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,1731,1A00F0U2HI8,Pressure,WIKA,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,WC1200,7387,EVAP_PUMP_DIFF_PRESS_EW-P1,WC1200,7157,EVAP_WTR_PRESS_PT-EW-3,Evap Water Pump Suction Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psig,22178,EA22197,Pressure,Keller,,2023-01-01,2030-01-01,1884,OK
Process Interfaces,WC1200,16450,COMPR_SYS01_RVAP_SUCT_PRESS_01,WC1200,7258,DAQ3A_AI_001,DAQ3A Current Input 1,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,7921,460445,Pressure,Omega,,2024-10-02,2025-04-02,149,OK
Process Interfaces,WC1200,16449,COMPR_SYS01_RVAP_DISCH_PRESS_01,WC1200,7259,DAQ3A_AI_002,DAQ3A Current Input 2,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,17650,532127,Pressure,Omega,,2024-10-02,2025-04-02,149,OK
Process Interfaces,WC1200,16451,COND_SYS01_RVAP_HIGH-CTR_PRESS_01,WC1200,7260,DAQ3A_AI_003,DAQ3A Current Input 3,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,14332,460437,Pressure,Omega,,2024-10-02,2025-04-02,149,OK
Process Interfaces,WC1200,19057,OIL_SYS01_OIL_PUMP_PRESS_01,WC1200,7261,DAQ3A_AI_004,DAQ3A Current Input 4,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,17651,532132,Pressure,Omega,,2024-10-02,2025-04-02,149,OK
